model,lambda_ss,reproduction_factor,critical_R0,normalized_critical_density
strong,0.000000,0.166666666667,4.500000,27.000000
hub,0.000000,0.166666666667,3.200000,19.200000
strong,0.005000,0.170833333333,4.500000,26.341463
hub,0.005000,0.170833333333,3.200000,18.731707
strong,0.010000,0.175000000000,4.500000,25.714286
hub,0.010000,0.175000000000,3.200000,18.285714
strong,0.015000,0.179166666667,4.500000,25.116279
hub,0.015000,0.179166666667,3.200000,17.860465
strong,0.020000,0.183333333333,4.500000,24.545455
hub,0.020000,0.183333333333,3.200000,17.454545
strong,0.025000,0.187500000000,4.500000,24.000000
hub,0.025000,0.187500000000,3.200000,17.066667
strong,0.030000,0.191666666667,4.500000,23.478261
hub,0.030000,0.191666666667,3.200000,16.695652
strong,0.035000,0.195833333333,4.500000,22.978723
hub,0.035000,0.195833333333,3.200000,16.340426
strong,0.040000,0.200000000000,4.500000,22.500000
hub,0.040000,0.200000000000,3.200000,16.000000
strong,0.045000,0.204166666667,4.500000,22.040816
hub,0.045000,0.204166666667,3.200000,15.673469
strong,0.050000,0.208333333333,4.500000,21.600000
hub,0.050000,0.208333333333,3.200000,15.360000
strong,0.055000,0.212500000000,4.500000,21.176471
hub,0.055000,0.212500000000,3.200000,15.058824
strong,0.060000,0.216666666667,4.500000,20.769231
hub,0.060000,0.216666666667,3.200000,14.769231
strong,0.065000,0.220833333333,4.500000,20.377358
hub,0.065000,0.220833333333,3.200000,14.490566
strong,0.070000,0.225000000000,4.500000,20.000000
hub,0.070000,0.225000000000,3.200000,14.222222
strong,0.075000,0.229166666667,4.500000,19.636364
hub,0.075000,0.229166666667,3.200000,13.963636
strong,0.080000,0.233333333333,4.500000,19.285714
hub,0.080000,0.233333333333,3.200000,13.714286
strong,0.085000,0.237500000000,4.500000,18.947368
hub,0.085000,0.237500000000,3.200000,13.473684
strong,0.090000,0.241666666667,4.500000,18.620690
hub,0.090000,0.241666666667,3.200000,13.241379
strong,0.095000,0.245833333333,4.500000,18.305085
hub,0.095000,0.245833333333,3.200000,13.016949
strong,0.100000,0.250000000000,4.500000,18.000000
hub,0.100000,0.250000000000,3.200000,12.800000
strong,0.105000,0.254166666667,4.500000,17.704918
hub,0.105000,0.254166666667,3.200000,12.590164
strong,0.110000,0.258333333333,4.500000,17.419355
hub,0.110000,0.258333333333,3.200000,12.387097
strong,0.115000,0.262500000000,4.500000,17.142857
hub,0.115000,0.262500000000,3.200000,12.190476
strong,0.120000,0.266666666667,4.500000,16.875000
hub,0.120000,0.266666666667,3.200000,12.000000
strong,0.125000,0.270833333333,4.500000,16.615385
hub,0.125000,0.270833333333,3.200000,11.815385
strong,0.130000,0.275000000000,4.500000,16.363636
hub,0.130000,0.275000000000,3.200000,11.636364
strong,0.135000,0.279166666667,4.500000,16.119403
hub,0.135000,0.279166666667,3.200000,11.462687
strong,0.140000,0.283333333333,4.500000,15.882353
hub,0.140000,0.283333333333,3.200000,11.294118
strong,0.145000,0.287500000000,4.500000,15.652174
hub,0.145000,0.287500000000,3.200000,11.130435
strong,0.150000,0.291666666667,4.500000,15.428571
hub,0.150000,0.291666666667,3.200000,10.971429
strong,0.155000,0.295833333333,4.500000,15.211268
