model,lambda_ss,time,mean_front_distance
hub,0.0000,0,0.000000
hub,0.0000,1,0.401875
hub,0.0000,2,0.705267
hub,0.0000,3,0.971176
hub,0.0000,4,1.231012
hub,0.0000,5,1.481789
hub,0.0000,6,1.713530
hub,0.0000,7,1.937883
hub,0.0000,8,2.159308
hub,0.0000,9,2.379122
hub,0.0000,10,2.590212
hub,0.0000,11,2.801136
hub,0.0000,12,3.001562
hub,0.0000,13,3.193222
hub,0.0000,14,3.376064
hub,0.0000,15,3.564447
hub,0.0000,16,3.754688
hub,0.0000,17,3.927400
hub,0.0000,18,4.103187
hub,0.0000,19,4.274065
hub,0.0000,20,4.441028
hub,0.0000,21,4.603350
hub,0.0000,22,4.773564
hub,0.0000,23,4.939609
hub,0.0000,24,5.105738
hub,0.0000,25,5.256666
hub,0.0000,26,5.407825
hub,0.0000,27,5.549844
hub,0.0000,28,5.677207
hub,0.0000,29,5.787607
hub,0.0000,30,5.888917
hub,0.0000,31,5.975127
hub,0.0000,32,6.054406
hub,0.0000,33,6.123527
hub,0.0000,34,6.175678
hub,0.0000,35,6.223246
hub,0.0000,36,6.262703
hub,0.0000,37,6.294160
hub,0.0000,38,6.318703
hub,0.0000,39,6.336409
hub,0.0000,40,6.352944
hub,0.0000,41,6.367412
hub,0.0000,42,6.379447
hub,0.0000,43,6.389082
hub,0.0000,44,6.394962
hub,0.0000,45,6.401049
hub,0.0000,46,6.405351
hub,0.0000,47,6.409844
hub,0.0000,48,6.411478
hub,0.0000,49,6.413944
hub,0.0000,50,6.416902
hub,0.0000,51,6.420584
hub,0.0000,52,6.422257
hub,0.0000,53,6.423772
hub,0.0000,54,6.425339
hub,0.0000,55,6.426385
hub,0.0000,56,6.427406
hub,0.0000,57,6.427981
hub,0.0000,58,6.428009
hub,0.0000,59,6.428557
hub,0.0000,60,6.428917
hub,0.0000,61,6.429475
hub,0.0000,62,6.429874
hub,0.0000,63,6.430381
hub,0.0000,64,6.430881
hub,0.0000,65,6.431090
hub,0.0000,66,6.431220
hub,0.0000,67,6.431490
hub,0.0000,68,6.431678
hub,0.0000,69,6.432049
hub,0.0000,70,6.432260
hub,0.0000,71,6.432260
hub,0.0000,72,6.432260
hub,0.0000,73,6.432260
hub,0.0000,74,6.432260
hub,0.0000,75,6.432260
hub,0.0000,76,6.432260
hub,0.0000,77,6.432260
hub,0.0000,78,6.432260
hub,0.0000,79,6.432260
hub,0.0000,80,6.432260
hub,0.0000,81,6.432260
hub,0.0000,82,6.432260
hub,0.0000,83,6.432260
hub,0.0000,84,6.432260
hub,0.0000,85,6.432260
hub,0.0000,86,6.432260
hub,0.0000,87,6.432260
hub,0.0000,88,6.432260
hub,0.0000,89,6.432260
hub,0.0000,90,6.432260
hub,0.0000,91,6.432260
hub,0.0000,92,6.432260
hub,0.0000,93,6.432260
hub,0.0000,94,6.432260
hub,0.0000,95,6.432260
hub,0.0000,96,6.432260
hub,0.0000,97,6.432260
hub,0.0000,98,6.432260
hub,0.0000,99,6.432260
hub,0.0000,100,6.432260
hub,0.0000,101,6.432260
hub,0.0000,102,6.432260
hub,0.0000,103,6.432260
hub,0.0000,104,6.432260
hub,0.0000,105,6.432260
hub,0.0000,106,6.432260
hub,0.0000,107,6.432260
hub,0.0000,108,6.432260
hub,0.0000,109,6.432260
hub,0.0000,110,6.432260
hub,0.0000,111,6.432260
hub,0.0000,112,6.432260
hub,0.0000,113,6.432260
hub,0.0000,114,6.432260
hub,0.0000,115,6.432260
hub,0.0000,116,6.432260
hub,0.0000,117,6.432260
hub,0.0000,118,6.432260
hub,0.0000,119,6.432260
hub,0.0000,120,6.432260
hub,0.0000,121,6.432260
hub,0.0000,122,6.432260
hub,0.0000,123,6.432260
hub,0.0000,124,6.432260
hub,0.0000,125,6.432260
hub,0.0000,126,6.432260
hub,0.0000,127,6.432260
hub,0.0000,128,6.432260
hub,0.0000,129,6.432260
hub,0.0000,130,6.432260
hub,0.0000,131,6.432260
hub,0.0000,132,6.432260
hub,0.0000,133,6.432260
hub,0.0000,134,6.432260
hub,0.0000,135,6.432260
hub,0.0000,136,6.432260
hub,0.0000,137,6.432260
hub,0.0000,138,6.432260
hub,0.0000,139,6.432260
hub,0.0000,140,6.432260
hub,0.0000,141,6.432260
hub,0.0000,142,6.432260
hub,0.0000,143,6.432260
hub,0.0000,144,6.432260
hub,0.0000,145,6.432260
hub,0.0000,146,6.432260
hub,0.0000,147,6.432260
hub,0.0000,148,6.432260
hub,0.0000,149,6.432260
hub,0.0000,150,6.432260
hub,0.0000,151,6.432260
hub,0.0000,152,6.432260
hub,0.0000,153,6.432260
hub,0.0000,154,6.432260
hub,0.0000,155,6.432260
hub,0.0000,156,6.432260
hub,0.0000,157,6.432260
hub,0.0000,158,6.432260
hub,0.0000,159,6.432260
hub,0.0000,160,6.432260
hub,0.0000,161,6.432260
hub,0.0000,162,6.432260
hub,0.0000,163,6.432260
hub,0.0000,164,6.432260
hub,0.0000,165,6.432260
hub,0.0000,166,6.432260
hub,0.0000,167,6.432260
hub,0.0000,168,6.432260
hub,0.0000,169,6.432260
hub,0.0000,170,6.432260
hub,0.0000,171,6.432260
hub,0.0000,172,6.432260
hub,0.0000,173,6.432260
hub,0.0000,174,6.432260
hub,0.0000,175,6.432260
hub,0.0000,176,6.432260
hub,0.0000,177,6.432260
hub,0.0000,178,6.432260
hub,0.0000,179,6.432260
hub,0.0000,180,6.432260
hub,0.0000,181,6.432260
hub,0.0000,182,6.432260
hub,0.0000,183,6.432260
hub,0.0000,184,6.432260
hub,0.0000,185,6.432260
hub,0.0000,186,6.432260
hub,0.0000,187,6.432260
hub,0.0000,188,6.432260
hub,0.0000,189,6.432260
hub,0.0000,190,6.432260
hub,0.0000,191,6.432260
hub,0.0000,192,6.432260
hub,0.0000,193,6.432260
hub,0.0000,194,6.432260
hub,0.0000,195,6.432260
hub,0.0000,196,6.432260
hub,0.0000,197,6.432260
hub,0.0000,198,6.432260
hub,0.0000,199,6.432260
hub,0.0000,200,6.432260
hub,0.2000,0,0.000000
hub,0.2000,1,0.642319
hub,0.2000,2,1.306486
hub,0.2000,3,2.059280
hub,0.2000,4,2.827439
hub,0.2000,5,3.629931
hub,0.2000,6,4.414848
hub,0.2000,7,5.192356
hub,0.2000,8,5.960134
hub,0.2000,9,6.694898
hub,0.2000,10,7.354962
hub,0.2000,11,7.847546
hub,0.2000,12,8.168381
hub,0.2000,13,8.340674
hub,0.2000,14,8.422577
hub,0.2000,15,8.448986
hub,0.2000,16,8.459746
hub,0.2000,17,8.462249
hub,0.2000,18,8.463156
hub,0.2000,19,8.463156
hub,0.2000,20,8.463156
hub,0.2000,21,8.463156
hub,0.2000,22,8.463156
hub,0.2000,23,8.463156
hub,0.2000,24,8.463156
hub,0.2000,25,8.463156
hub,0.2000,26,8.463156
hub,0.2000,27,8.463156
hub,0.2000,28,8.463156
hub,0.2000,29,8.463156
hub,0.2000,30,8.463156
hub,0.2000,31,8.463156
hub,0.2000,32,8.463156
hub,0.2000,33,8.463156
hub,0.2000,34,8.463156
hub,0.2000,35,8.463156
hub,0.2000,36,8.463156
hub,0.2000,37,8.463156
hub,0.2000,38,8.463156
hub,0.2000,39,8.463156
hub,0.2000,40,8.463156
hub,0.2000,41,8.463156
hub,0.2000,42,8.463156
hub,0.2000,43,8.463156
hub,0.2000,44,8.463156
hub,0.2000,45,8.463156
hub,0.2000,46,8.463156
hub,0.2000,47,8.463156
hub,0.2000,48,8.463156
hub,0.2000,49,8.463156
hub,0.2000,50,8.463156
hub,0.2000,51,8.463156
hub,0.2000,52,8.463156
hub,0.2000,53,8.463156
hub,0.2000,54,8.463156
hub,0.2000,55,8.463156
hub,0.2000,56,8.463156
hub,0.2000,57,8.463156
hub,0.2000,58,8.463156
hub,0.2000,59,8.463156
hub,0.2000,60,8.463156
hub,0.2000,61,8.463156
hub,0.2000,62,8.463156
hub,0.2000,63,8.463156
hub,0.2000,64,8.463156
hub,0.2000,65,8.463156
hub,0.2000,66,8.463156
hub,0.2000,67,8.463156
hub,0.2000,68,8.463156
hub,0.2000,69,8.463156
hub,0.2000,70,8.463156
hub,0.2000,71,8.463156
hub,0.2000,72,8.463156
hub,0.2000,73,8.463156
hub,0.2000,74,8.463156
hub,0.2000,75,8.463156
hub,0.2000,76,8.463156
hub,0.2000,77,8.463156
hub,0.2000,78,8.463156
hub,0.2000,79,8.463156
hub,0.2000,80,8.463156
hub,0.2000,81,8.463156
hub,0.2000,82,8.463156
hub,0.2000,83,8.463156
hub,0.2000,84,8.463156
hub,0.2000,85,8.463156
hub,0.2000,86,8.463156
hub,0.2000,87,8.463156
hub,0.2000,88,8.463156
hub,0.2000,89,8.463156
hub,0.2000,90,8.463156
hub,0.2000,91,8.463156
hub,0.2000,92,8.463156
hub,0.2000,93,8.463156
hub,0.2000,94,8.463156
hub,0.2000,95,8.463156
hub,0.2000,96,8.463156
hub,0.2000,97,8.463156
hub,0.2000,98,8.463156
hub,0.2000,99,8.463156
hub,0.2000,100,8.463156
hub,0.2000,101,8.463156
hub,0.2000,102,8.463156
hub,0.2000,103,8.463156
hub,0.2000,104,8.463156
hub,0.2000,105,8.463156
hub,0.2000,106,8.463156
hub,0.2000,107,8.463156
hub,0.2000,108,8.463156
hub,0.2000,109,8.463156
hub,0.2000,110,8.463156
hub,0.2000,111,8.463156
hub,0.2000,112,8.463156
hub,0.2000,113,8.463156
hub,0.2000,114,8.463156
hub,0.2000,115,8.463156
hub,0.2000,116,8.463156
hub,0.2000,117,8.463156
hub,0.2000,118,8.463156
hub,0.2000,119,8.463156
hub,0.2000,120,8.463156
hub,0.2000,121,8.463156
hub,0.2000,122,8.463156
hub,0.2000,123,8.463156
hub,0.2000,124,8.463156
hub,0.2000,125,8.463156
hub,0.2000,126,8.463156
hub,0.2000,127,8.463156
hub,0.2000,128,8.463156
hub,0.2000,129,8.463156
hub,0.2000,130,8.463156
hub,0.2000,131,8.463156
hub,0.2000,132,8.463156
hub,0.2000,133,8.463156
hub,0.2000,134,8.463156
hub,0.2000,135,8.463156
hub,0.2000,136,8.463156
hub,0.2000,137,8.463156
hub,0.2000,138,8.463156
hub,0.2000,139,8.463156
hub,0.2000,140,8.463156
hub,0.2000,141,8.463156
hub,0.2000,142,8.463156
hub,0.2000,143,8.463156
hub,0.2000,144,8.463156
hub,0.2000,145,8.463156
hub,0.2000,146,8.463156
hub,0.2000,147,8.463156
hub,0.2000,148,8.463156
hub,0.2000,149,8.463156
hub,0.2000,150,8.463156
hub,0.2000,151,8.463156
hub,0.2000,152,8.463156
hub,0.2000,153,8.463156
hub,0.2000,154,8.463156
hub,0.2000,155,8.463156
hub,0.2000,156,8.463156
hub,0.2000,157,8.463156
hub,0.2000,158,8.463156
hub,0.2000,159,8.463156
hub,0.2000,160,8.463156
hub,0.2000,161,8.463156
hub,0.2000,162,8.463156
hub,0.2000,163,8.463156
hub,0.2000,164,8.463156
hub,0.2000,165,8.463156
hub,0.2000,166,8.463156
hub,0.2000,167,8.463156
hub,0.2000,168,8.463156
hub,0.2000,169,8.463156
hub,0.2000,170,8.463156
hub,0.2000,171,8.463156
hub,0.2000,172,8.463156
hub,0.2000,173,8.463156
hub,0.2000,174,8.463156
hub,0.2000,175,8.463156
hub,0.2000,176,8.463156
hub,0.2000,177,8.463156
hub,0.2000,178,8.463156
hub,0.2000,179,8.463156
hub,0.2000,180,8.463156
hub,0.2000,181,8.463156
hub,0.2000,182,8.463156
hub,0.2000,183,8.463156
hub,0.2000,184,8.463156
hub,0.2000,185,8.463156
hub,0.2000,186,8.463156
hub,0.2000,187,8.463156
hub,0.2000,188,8.463156
hub,0.2000,189,8.463156
hub,0.2000,190,8.463156
hub,0.2000,191,8.463156
hub,0.2000,192,8.463156
hub,0.2000,193,8.463156
hub,0.2000,194,8.463156
hub,0.2000,195,8.463156
hub,0.2000,196,8.463156
hub,0.2000,197,8.463156
hub,0.2000,198,8.463156
hub,0.2000,199,8.463156
hub,0.2000,200,8.463156
hub,0.4000,0,0.000000
hub,0.4000,1,0.920209
hub,0.4000,2,1.953936
hub,0.4000,3,3.080187
hub,0.4000,4,4.187106
hub,0.4000,5,5.275194
hub,0.4000,6,6.360810
hub,0.4000,7,7.430401
hub,0.4000,8,8.359673
hub,0.4000,9,8.988059
hub,0.4000,10,9.265565
hub,0.4000,11,9.344441
hub,0.4000,12,9.361378
hub,0.4000,13,9.365310
hub,0.4000,14,9.366570
hub,0.4000,15,9.367413
hub,0.4000,16,9.367413
hub,0.4000,17,9.367413
hub,0.4000,18,9.367413
hub,0.4000,19,9.367413
hub,0.4000,20,9.367413
hub,0.4000,21,9.367413
hub,0.4000,22,9.367413
hub,0.4000,23,9.367413
hub,0.4000,24,9.367413
hub,0.4000,25,9.367413
hub,0.4000,26,9.367413
hub,0.4000,27,9.367413
hub,0.4000,28,9.367413
hub,0.4000,29,9.367413
hub,0.4000,30,9.367413
hub,0.4000,31,9.367413
hub,0.4000,32,9.367413
hub,0.4000,33,9.367413
hub,0.4000,34,9.367413
hub,0.4000,35,9.367413
hub,0.4000,36,9.367413
hub,0.4000,37,9.367413
hub,0.4000,38,9.367413
hub,0.4000,39,9.367413
hub,0.4000,40,9.367413
hub,0.4000,41,9.367413
hub,0.4000,42,9.367413
hub,0.4000,43,9.367413
hub,0.4000,44,9.367413
hub,0.4000,45,9.367413
hub,0.4000,46,9.367413
hub,0.4000,47,9.367413
hub,0.4000,48,9.367413
hub,0.4000,49,9.367413
hub,0.4000,50,9.367413
hub,0.4000,51,9.367413
hub,0.4000,52,9.367413
hub,0.4000,53,9.367413
hub,0.4000,54,9.367413
hub,0.4000,55,9.367413
hub,0.4000,56,9.367413
hub,0.4000,57,9.367413
hub,0.4000,58,9.367413
hub,0.4000,59,9.367413
hub,0.4000,60,9.367413
hub,0.4000,61,9.367413
hub,0.4000,62,9.367413
hub,0.4000,63,9.367413
hub,0.4000,64,9.367413
hub,0.4000,65,9.367413
hub,0.4000,66,9.367413
hub,0.4000,67,9.367413
hub,0.4000,68,9.367413
hub,0.4000,69,9.367413
hub,0.4000,70,9.367413
hub,0.4000,71,9.367413
hub,0.4000,72,9.367413
hub,0.4000,73,9.367413
hub,0.4000,74,9.367413
hub,0.4000,75,9.367413
hub,0.4000,76,9.367413
hub,0.4000,77,9.367413
hub,0.4000,78,9.367413
hub,0.4000,79,9.367413
hub,0.4000,80,9.367413
hub,0.4000,81,9.367413
hub,0.4000,82,9.367413
hub,0.4000,83,9.367413
hub,0.4000,84,9.367413
hub,0.4000,85,9.367413
hub,0.4000,86,9.367413
hub,0.4000,87,9.367413
hub,0.4000,88,9.367413
hub,0.4000,89,9.367413
hub,0.4000,90,9.367413
hub,0.4000,91,9.367413
hub,0.4000,92,9.367413
hub,0.4000,93,9.367413
hub,0.4000,94,9.367413
hub,0.4000,95,9.367413
hub,0.4000,96,9.367413
hub,0.4000,97,9.367413
hub,0.4000,98,9.367413
hub,0.4000,99,9.367413
