transmission_model,source_type,distance_over_r0,probability_over_w0
strong,normal,0.000000,1.000000
strong,normal,0.006124,0.987790
strong,normal,0.012247,0.975655
strong,normal,0.018371,0.963595
strong,normal,0.024495,0.951610
strong,normal,0.030619,0.939700
strong,normal,0.036742,0.927865
strong,normal,0.042866,0.916105
strong,normal,0.048990,0.904420
strong,normal,0.055114,0.892810
strong,normal,0.061237,0.881276
strong,normal,0.067361,0.869816
strong,normal,0.073485,0.858431
strong,normal,0.079608,0.847121
strong,normal,0.085732,0.835886
strong,normal,0.091856,0.824726
strong,normal,0.097980,0.813641
strong,normal,0.104103,0.802631
strong,normal,0.110227,0.791696
strong,normal,0.116351,0.780836
strong,normal,0.122474,0.770051
strong,normal,0.128598,0.759341
strong,normal,0.134722,0.748706
strong,normal,0.140846,0.738146
strong,normal,0.146969,0.727661
strong,normal,0.153093,0.717251
strong,normal,0.159217,0.706916
strong,normal,0.165341,0.696656
strong,normal,0.171464,0.686471
strong,normal,0.177588,0.676361
strong,normal,0.183712,0.666327
strong,normal,0.189835,0.656367
strong,normal,0.195959,0.646482
strong,normal,0.202083,0.636672
strong,normal,0.208207,0.626937
strong,normal,0.214330,0.617277
strong,normal,0.220454,0.607692
strong,normal,0.226578,0.598182
strong,normal,0.232702,0.588747
strong,normal,0.238825,0.579387
strong,normal,0.244949,0.570102
strong,normal,0.251073,0.560892
strong,normal,0.257196,0.551757
strong,normal,0.263320,0.542697
strong,normal,0.269444,0.533712
strong,normal,0.275568,0.524802
strong,normal,0.281691,0.515967
strong,normal,0.287815,0.507207
strong,normal,0.293939,0.498522
strong,normal,0.300062,0.489913
strong,normal,0.306186,0.481378
strong,normal,0.312310,0.472918
strong,normal,0.318434,0.464533
strong,normal,0.324557,0.456223
strong,normal,0.330681,0.447988
strong,normal,0.336805,0.439828
strong,normal,0.342929,0.431743
strong,normal,0.349052,0.423733
strong,normal,0.355176,0.415798
strong,normal,0.361300,0.407938
strong,normal,0.367423,0.400153
strong,normal,0.373547,0.392443
strong,normal,0.379671,0.384808
strong,normal,0.385795,0.377248
strong,normal,0.391918,0.369763
strong,normal,0.398042,0.362353
strong,normal,0.404166,0.355018
strong,normal,0.410290,0.347758
strong,normal,0.416413,0.340573
strong,normal,0.422537,0.333464
strong,normal,0.428661,0.326429
strong,normal,0.434784,0.319469
strong,normal,0.440908,0.312584
strong,normal,0.447032,0.305774
strong,normal,0.453156,0.299039
strong,normal,0.459279,0.292379
strong,normal,0.465403,0.285794
strong,normal,0.471527,0.279284
strong,normal,0.477650,0.272849
strong,normal,0.483774,0.266489
strong,normal,0.489898,0.260204
strong,normal,0.496022,0.253994
strong,normal,0.502145,0.247859
strong,normal,0.508269,0.241799
strong,normal,0.514393,0.235814
strong,normal,0.520517,0.229904
strong,normal,0.526640,0.224069
strong,normal,0.532764,0.218309
strong,normal,0.538888,0.212625
strong,normal,0.545011,0.207015
strong,normal,0.551135,0.201480
strong,normal,0.557259,0.196020
strong,normal,0.563383,0.190635
strong,normal,0.569506,0.185325
strong,normal,0.575630,0.180090
strong,normal,0.581754,0.174930
strong,normal,0.587878,0.169845
strong,normal,0.594001,0.164835
strong,normal,0.600125,0.159900
strong,normal,0.606249,0.155040
strong,normal,0.612372,0.150255
strong,normal,0.618496,0.145545
strong,normal,0.624620,0.140910
strong,normal,0.630744,0.136350
strong,normal,0.636867,0.131865
strong,normal,0.642991,0.127455
