transmission_model,superspreader_fraction,population_size,population_density,runs,mean_case_fraction,std_case_fraction,percolation_probability,mean_outbreak_duration,mean_peak_active_cases,mean_front_speed,mean_secondary_cases,mean_max_secondary_cases
hub,0.0,50,0.5,1000,0.023320,0.009348,0.000000,1.153000,1.012000,0.003862,0.071717,0.146000
hub,0.0,75,0.75,1000,0.016427,0.007474,0.000000,1.209000,1.023000,0.008669,0.096183,0.198000
hub,0.0,100,1.0,1000,0.014090,0.008987,0.000000,1.363000,1.041000,0.022135,0.147433,0.300000
hub,0.0,125,1.25,1000,0.012504,0.008572,0.000000,1.475000,1.075000,0.033409,0.187267,0.388000
hub,0.0,150,1.5,1000,0.011500,0.009846,0.000000,1.574000,1.114000,0.035658,0.204480,0.440000
hub,0.0,200,2.0,1000,0.010690,0.009751,0.000000,1.851000,1.200000,0.055674,0.280042,0.616000
hub,0.0,250,2.5,1000,0.011760,0.014527,0.000000,2.217000,1.397000,0.079299,0.341325,0.833000
hub,0.0,300,3.0,1000,0.013427,0.018314,0.000000,2.702000,1.624000,0.109592,0.405047,1.065000
hub,0.0,350,3.5,1000,0.018017,0.028091,0.000000,3.535000,1.990000,0.132760,0.482342,1.335000
hub,0.0,400,4.0,1000,0.023738,0.038746,0.000000,4.358000,2.469000,0.154213,0.529070,1.629000
hub,0.0,450,4.5,1000,0.046244,0.085486,0.010000,6.691000,3.554000,0.168522,0.586879,2.084000
hub,0.0,500,5.0,1000,0.080880,0.149060,0.042000,9.325000,4.843000,0.180068,0.619512,2.435000
hub,0.0,550,5.5,1000,0.187480,0.266430,0.166000,15.742000,8.597000,0.203230,0.704876,3.260000
hub,0.0,600,6.0,1000,0.352960,0.374842,0.383000,21.995000,14.442000,0.211578,0.735375,3.947000
hub,0.0,650,6.5,1000,0.525266,0.423396,0.575000,26.629000,22.577000,0.241043,0.788510,4.731000
hub,0.0,700,7.0,1000,0.630141,0.427508,0.676000,26.990000,30.169000,0.266001,0.804558,5.243000
hub,0.0,750,7.5,1000,0.733048,0.398267,0.769000,27.725000,38.888000,0.298739,0.839756,5.950000
hub,0.0,800,8.0,1000,0.778381,0.382473,0.804000,27.128000,45.539000,0.330221,0.863584,6.326000
hub,0.0,850,8.5,1000,0.803906,0.371413,0.823000,26.291000,50.885000,0.344410,0.869887,6.765000
hub,0.0,900,9.0,1000,0.859251,0.325398,0.874000,26.560000,58.045000,0.376292,0.896983,7.303000
hub,0.2,50,0.5,1000,0.026480,0.017147,0.000000,1.258000,1.060000,0.027346,0.112882,0.256000
hub,0.2,75,0.75,1000,0.023040,0.021483,0.000000,1.498000,1.174000,0.063278,0.193091,0.477000
hub,0.2,100,1.0,1000,0.020430,0.022648,0.000000,1.640000,1.279000,0.083468,0.229921,0.615000
hub,0.2,125,1.25,1000,0.022152,0.032251,0.000000,1.874000,1.513000,0.121889,0.285417,0.879000
hub,0.2,150,1.5,1000,0.027660,0.048359,0.002000,2.335000,1.805000,0.155699,0.344785,1.154000
hub,0.2,200,2.0,1000,0.049110,0.100150,0.009000,3.384000,2.801000,0.207692,0.431120,1.857000
hub,0.2,250,2.5,1000,0.107268,0.205012,0.070000,5.298000,5.015000,0.234866,0.482962,2.775000
