experiment,model,lambda_ss,N,density,runs,mean_attack_rate,std_attack_rate,percolation_probability,mean_duration,mean_peak_active_infected,mean_propagation_speed,mean_secondary_infections,mean_max_secondary_infections
baseline_curves,hub,0.2,477,4.77,10,0.794340,0.396138,0.800000,10.600000,76.700000,0.385099,0.798310,12.100000
baseline_curves,normal,0.0,477,4.77,10,0.096855,0.119397,0.000000,10.800000,5.800000,0.160303,0.857765,3.000000
baseline_curves,strong,0.2,477,4.77,10,0.791614,0.394813,0.800000,15.300000,44.800000,0.280614,0.798304,11.700000
percolation_density_sweep,hub,0.2,477,2.5,10,0.278826,0.274322,0.200000,14.000000,14.800000,0.174104,0.721597,5.300000
percolation_density_sweep,hub,0.2,477,3.5,10,0.647799,0.424569,0.700000,12.300000,43.800000,0.296993,0.748407,8.900000
percolation_density_sweep,hub,0.2,477,4.77,10,0.794340,0.396138,0.800000,10.600000,76.700000,0.385099,0.798310,12.100000
percolation_density_sweep,hub,0.2,477,6.0,10,0.899161,0.299025,0.900000,8.900000,109.100000,0.511618,0.898111,17.600000
percolation_density_sweep,hub,0.2,477,8.0,10,0.900210,0.299371,0.900000,7.300000,141.600000,0.534828,0.898113,21.200000
percolation_density_sweep,normal,0.0,477,2.5,10,0.007128,0.004516,0.000000,2.700000,1.400000,0.090246,0.514167,1.100000
percolation_density_sweep,normal,0.0,477,3.5,10,0.025577,0.029482,0.000000,5.400000,2.700000,0.084603,0.628191,1.800000
percolation_density_sweep,normal,0.0,477,4.77,10,0.096855,0.119397,0.000000,10.800000,5.800000,0.160303,0.857765,3.000000
percolation_density_sweep,normal,0.0,477,6.0,10,0.727883,0.360893,0.800000,24.300000,29.500000,0.157292,0.928152,5.500000
percolation_density_sweep,normal,0.0,477,8.0,10,0.980294,0.005944,1.000000,17.900000,64.000000,0.287860,0.997861,7.700000
percolation_density_sweep,strong,0.2,477,2.5,10,0.066876,0.084027,0.000000,7.800000,5.600000,0.191137,0.696150,4.700000
percolation_density_sweep,strong,0.2,477,3.5,10,0.500839,0.383075,0.500000,22.100000,21.700000,0.152828,0.747546,8.700000
percolation_density_sweep,strong,0.2,477,4.77,10,0.791614,0.394813,0.800000,15.300000,44.800000,0.280614,0.798304,11.700000
percolation_density_sweep,strong,0.2,477,6.0,10,0.897275,0.298419,0.900000,12.700000,75.200000,0.390380,0.898107,15.900000
percolation_density_sweep,strong,0.2,477,8.0,10,0.900000,0.299302,0.900000,9.600000,90.000000,0.457156,0.898113,21.500000
sensitivity_N_lambda,hub,0.0,300,4.77,10,0.401667,0.230831,0.400000,21.900000,11.400000,0.190393,0.983598,4.900000
sensitivity_N_lambda,hub,0.0,477,4.77,10,0.096855,0.119397,0.000000,10.800000,5.800000,0.160303,0.857765,3.000000
sensitivity_N_lambda,hub,0.0,650,4.77,10,0.158769,0.138403,0.000000,20.500000,9.800000,0.194299,0.931499,4.000000
sensitivity_N_lambda,hub,0.05,300,4.77,10,0.551667,0.416995,0.600000,16.600000,22.300000,0.179197,0.869968,9.700000
sensitivity_N_lambda,hub,0.05,477,4.77,10,0.710901,0.354727,0.800000,20.000000,34.200000,0.207452,0.848109,11.400000
sensitivity_N_lambda,hub,0.05,650,4.77,10,0.496000,0.416057,0.500000,20.000000,30.400000,0.176749,0.767930,9.200000
