model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
hub,0.4000,0,1.000000,1.000000,1.000000
hub,0.4000,1,7.267000,7.267000,8.267000
hub,0.4000,2,25.698000,25.698000,33.965000
hub,0.4000,3,52.870000,52.870000,86.835000
hub,0.4000,4,84.418000,84.418000,171.253000
hub,0.4000,5,109.392000,109.392000,280.645000
hub,0.4000,6,94.554000,94.554000,375.199000
hub,0.4000,7,48.395000,48.395000,423.594000
hub,0.4000,8,15.902000,15.902000,439.496000
hub,0.4000,9,3.461000,3.461000,442.957000
hub,0.4000,10,0.711000,0.711000,443.668000
hub,0.4000,11,0.249000,0.249000,443.917000
hub,0.4000,12,0.039000,0.039000,443.956000
hub,0.4000,13,0.000000,0.000000,443.956000
hub,0.4000,14,0.000000,0.000000,443.956000
hub,0.4000,15,0.000000,0.000000,443.956000
hub,0.4000,16,0.000000,0.000000,443.956000
hub,0.4000,17,0.000000,0.000000,443.956000
hub,0.4000,18,0.000000,0.000000,443.956000
hub,0.4000,19,0.000000,0.000000,443.956000
hub,0.4000,20,0.000000,0.000000,443.956000
hub,0.4000,21,0.000000,0.000000,443.956000
hub,0.4000,22,0.000000,0.000000,443.956000
hub,0.4000,23,0.000000,0.000000,443.956000
hub,0.4000,24,0.000000,0.000000,443.956000
hub,0.4000,25,0.000000,0.000000,443.956000
hub,0.4000,26,0.000000,0.000000,443.956000
hub,0.4000,27,0.000000,0.000000,443.956000
hub,0.4000,28,0.000000,0.000000,443.956000
hub,0.4000,29,0.000000,0.000000,443.956000
hub,0.4000,30,0.000000,0.000000,443.956000
hub,0.4000,31,0.000000,0.000000,443.956000
hub,0.4000,32,0.000000,0.000000,443.956000
hub,0.4000,33,0.000000,0.000000,443.956000
hub,0.4000,34,0.000000,0.000000,443.956000
hub,0.4000,35,0.000000,0.000000,443.956000
hub,0.4000,36,0.000000,0.000000,443.956000
hub,0.4000,37,0.000000,0.000000,443.956000
hub,0.4000,38,0.000000,0.000000,443.956000
hub,0.4000,39,0.000000,0.000000,443.956000
hub,0.4000,40,0.000000,0.000000,443.956000
hub,0.4000,41,0.000000,0.000000,443.956000
hub,0.4000,42,0.000000,0.000000,443.956000
hub,0.4000,43,0.000000,0.000000,443.956000
hub,0.4000,44,0.000000,0.000000,443.956000
hub,0.4000,45,0.000000,0.000000,443.956000
hub,0.4000,46,0.000000,0.000000,443.956000
hub,0.4000,47,0.000000,0.000000,443.956000
hub,0.4000,48,0.000000,0.000000,443.956000
hub,0.4000,49,0.000000,0.000000,443.956000
hub,0.4000,50,0.000000,0.000000,443.956000
hub,0.4000,51,0.000000,0.000000,443.956000
hub,0.4000,52,0.000000,0.000000,443.956000
hub,0.4000,53,0.000000,0.000000,443.956000
hub,0.4000,54,0.000000,0.000000,443.956000
hub,0.4000,55,0.000000,0.000000,443.956000
hub,0.4000,56,0.000000,0.000000,443.956000
hub,0.4000,57,0.000000,0.000000,443.956000
hub,0.4000,58,0.000000,0.000000,443.956000
hub,0.4000,59,0.000000,0.000000,443.956000
hub,0.4000,60,0.000000,0.000000,443.956000
hub,0.4000,61,0.000000,0.000000,443.956000
hub,0.4000,62,0.000000,0.000000,443.956000
hub,0.4000,63,0.000000,0.000000,443.956000
hub,0.4000,64,0.000000,0.000000,443.956000
hub,0.4000,65,0.000000,0.000000,443.956000
hub,0.4000,66,0.000000,0.000000,443.956000
hub,0.4000,67,0.000000,0.000000,443.956000
hub,0.4000,68,0.000000,0.000000,443.956000
hub,0.4000,69,0.000000,0.000000,443.956000
hub,0.4000,70,0.000000,0.000000,443.956000
hub,0.4000,71,0.000000,0.000000,443.956000
hub,0.4000,72,0.000000,0.000000,443.956000
hub,0.4000,73,0.000000,0.000000,443.956000
hub,0.4000,74,0.000000,0.000000,443.956000
hub,0.4000,75,0.000000,0.000000,443.956000
hub,0.4000,76,0.000000,0.000000,443.956000
hub,0.4000,77,0.000000,0.000000,443.956000
hub,0.4000,78,0.000000,0.000000,443.956000
hub,0.4000,79,0.000000,0.000000,443.956000
hub,0.4000,80,0.000000,0.000000,443.956000
hub,0.4000,81,0.000000,0.000000,443.956000
hub,0.4000,82,0.000000,0.000000,443.956000
hub,0.4000,83,0.000000,0.000000,443.956000
hub,0.4000,84,0.000000,0.000000,443.956000
hub,0.4000,85,0.000000,0.000000,443.956000
hub,0.4000,86,0.000000,0.000000,443.956000
hub,0.4000,87,0.000000,0.000000,443.956000
hub,0.4000,88,0.000000,0.000000,443.956000
hub,0.4000,89,0.000000,0.000000,443.956000
hub,0.4000,90,0.000000,0.000000,443.956000
hub,0.4000,91,0.000000,0.000000,443.956000
hub,0.4000,92,0.000000,0.000000,443.956000
hub,0.4000,93,0.000000,0.000000,443.956000
hub,0.4000,94,0.000000,0.000000,443.956000
hub,0.4000,95,0.000000,0.000000,443.956000
hub,0.4000,96,0.000000,0.000000,443.956000
hub,0.4000,97,0.000000,0.000000,443.956000
hub,0.4000,98,0.000000,0.000000,443.956000
hub,0.4000,99,0.000000,0.000000,443.956000
hub,0.4000,100,0.000000,0.000000,443.956000
hub,0.4000,101,0.000000,0.000000,443.956000
hub,0.4000,102,0.000000,0.000000,443.956000
hub,0.4000,103,0.000000,0.000000,443.956000
hub,0.4000,104,0.000000,0.000000,443.956000
hub,0.4000,105,0.000000,0.000000,443.956000
hub,0.4000,106,0.000000,0.000000,443.956000
hub,0.4000,107,0.000000,0.000000,443.956000
hub,0.4000,108,0.000000,0.000000,443.956000
hub,0.4000,109,0.000000,0.000000,443.956000
hub,0.4000,110,0.000000,0.000000,443.956000
hub,0.4000,111,0.000000,0.000000,443.956000
hub,0.4000,112,0.000000,0.000000,443.956000
hub,0.4000,113,0.000000,0.000000,443.956000
hub,0.4000,114,0.000000,0.000000,443.956000
hub,0.4000,115,0.000000,0.000000,443.956000
