transmission_model,superspreader_fraction,secondary_cases,frequency,probability
hub,0.2000,0,186470,0.617113
hub,0.2000,1,54792,0.181331
hub,0.2000,2,23770,0.078666
hub,0.2000,3,12152,0.040216
hub,0.2000,4,7026,0.023252
hub,0.2000,5,4775,0.015803
hub,0.2000,6,3599,0.011911
hub,0.2000,7,2635,0.008720
hub,0.2000,8,2034,0.006731
hub,0.2000,9,1422,0.004706
hub,0.2000,10,1131,0.003743
hub,0.2000,11,793,0.002624
hub,0.2000,12,562,0.001860
hub,0.2000,13,395,0.001307
hub,0.2000,14,243,0.000804
hub,0.2000,15,152,0.000503
hub,0.2000,16,90,0.000298
hub,0.2000,17,57,0.000189
hub,0.2000,18,26,0.000086
hub,0.2000,19,20,0.000066
hub,0.2000,20,8,0.000026
hub,0.2000,21,9,0.000030
hub,0.2000,22,3,0.000010
hub,0.2000,23,1,0.000003
normal,0.0000,0,12711,0.426658
normal,0.0000,1,9489,0.318508
normal,0.0000,2,4788,0.160714
normal,0.0000,3,1832,0.061493
normal,0.0000,4,708,0.023765
normal,0.0000,5,201,0.006747
normal,0.0000,6,52,0.001745
normal,0.0000,7,7,0.000235
normal,0.0000,8,3,0.000101
normal,0.0000,9,1,0.000034
strong,0.2000,0,163618,0.628203
strong,0.2000,1,44981,0.172702
strong,0.2000,2,19330,0.074217
strong,0.2000,3,9657,0.037078
strong,0.2000,4,6059,0.023263
strong,0.2000,5,4406,0.016917
strong,0.2000,6,3508,0.013469
strong,0.2000,7,2666,0.010236
strong,0.2000,8,2052,0.007879
strong,0.2000,9,1494,0.005736
strong,0.2000,10,996,0.003824
strong,0.2000,11,635,0.002438
strong,0.2000,12,424,0.001628
strong,0.2000,13,259,0.000994
strong,0.2000,14,164,0.000630
strong,0.2000,15,84,0.000323
strong,0.2000,16,62,0.000238
strong,0.2000,17,27,0.000104
strong,0.2000,18,20,0.000077
strong,0.2000,19,8,0.000031
strong,0.2000,20,2,0.000008
strong,0.2000,21,1,0.000004
strong,0.2000,22,0,0.000000
strong,0.2000,23,0,0.000000
strong,0.2000,24,1,0.000004
