scenario_name,transmission_model,superspreader_fraction,population_size,population_density,runs,mean_case_fraction,std_case_fraction,percolation_probability,mean_outbreak_duration,mean_peak_active_cases,mean_front_speed,mean_secondary_cases,mean_max_secondary_cases
superspreader_fraction_sweep,hub,0.0,637,6.37,1000,0.490534,0.419529,0.542000,26.034000,20.384000,0.232581,0.768124,4.503000
superspreader_fraction_sweep,hub,0.2,637,6.37,1000,0.768366,0.418566,0.770000,11.930000,77.347000,0.723719,0.812516,13.982000
superspreader_fraction_sweep,hub,0.4,637,6.37,1000,0.854107,0.352320,0.854000,10.141000,102.015000,1.003248,0.869576,15.299000
superspreader_fraction_sweep,hub,0.6,637,6.37,1000,0.926102,0.261284,0.926000,9.679000,120.207000,1.206874,0.929880,16.683000
superspreader_fraction_sweep,hub,0.8,637,6.37,1000,0.965058,0.183466,0.965000,9.226000,131.283000,1.335226,0.964985,17.112000
superspreader_fraction_sweep,hub,1.0,637,6.37,1000,1.000000,0.000000,1.000000,9.043000,140.988000,1.435750,0.998430,17.436000
superspreader_fraction_sweep,strong,0.0,637,6.37,1000,0.490534,0.419529,0.542000,26.034000,20.384000,0.232581,0.768124,4.503000
superspreader_fraction_sweep,strong,0.2,637,6.37,1000,0.762633,0.419920,0.766000,17.329000,51.148000,0.457318,0.813053,12.944000
superspreader_fraction_sweep,strong,0.4,637,6.37,1000,0.850047,0.356084,0.850000,15.073000,63.396000,0.612178,0.869170,13.524000
superspreader_fraction_sweep,strong,0.6,637,6.37,1000,0.926094,0.261282,0.926000,14.808000,72.089000,0.718403,0.929880,14.405000
superspreader_fraction_sweep,strong,0.8,637,6.37,1000,0.965057,0.183466,0.965000,14.550000,76.619000,0.783672,0.964985,14.710000
superspreader_fraction_sweep,strong,1.0,637,6.37,1000,0.999998,0.000050,1.000000,14.495000,80.709000,0.834747,0.998430,15.141000
