experiment,model,lambda_ss,N,density,L,seed,total_infected,attack_rate,duration,peak_new_infections,peak_active_infected,propagation_speed,mean_secondary_infections,max_secondary_infections,percolated
baseline_curves,normal,0.0000,477,4.7700,10.0000,0,8,0.016771,5,2,2,0.022841,0.875000,2,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,1,95,0.199161,17,11,11,0.345849,0.989474,5,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,2,19,0.039832,10,3,3,0.244419,0.947368,3,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,3,72,0.150943,14,13,13,0.333588,0.986111,5,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,4,2,0.004193,2,1,1,0.000000,0.500000,1,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,5,4,0.008386,3,2,2,0.047562,0.750000,2,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,6,4,0.008386,4,1,1,0.101365,0.750000,1,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,7,5,0.010482,4,2,2,0.010027,0.800000,2,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,8,186,0.389937,33,14,14,0.144439,0.994624,5,0
baseline_curves,normal,0.0000,477,4.7700,10.0000,9,67,0.140461,16,9,9,0.352940,0.985075,4,0
baseline_curves,strong,0.2000,477,4.7700,10.0000,0,472,0.989518,20,57,57,0.359234,0.997881,13,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,1,477,1.000000,15,64,64,0.436385,0.997904,17,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,2,466,0.976939,21,52,52,0.240714,0.997854,16,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,3,1,0.002096,1,0,1,0.000000,0.000000,0,0
baseline_curves,strong,0.2000,477,4.7700,10.0000,4,475,0.995807,18,54,54,0.368040,0.997895,14,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,5,1,0.002096,1,0,1,0.000000,0.000000,0,0
baseline_curves,strong,0.2000,477,4.7700,10.0000,6,473,0.991614,20,53,53,0.300088,0.997886,12,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,7,471,0.987421,19,54,54,0.374711,0.997877,13,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,8,467,0.979036,17,53,53,0.366833,0.997859,18,1
baseline_curves,strong,0.2000,477,4.7700,10.0000,9,473,0.991614,21,59,59,0.360135,0.997886,14,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,0,473,0.991614,14,100,100,0.531879,0.997886,13,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,1,475,0.995807,11,112,112,0.495143,0.997895,17,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,2,469,0.983229,14,77,77,0.332221,0.997868,13,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,3,1,0.002096,1,0,1,0.000000,0.000000,0,0
baseline_curves,hub,0.2000,477,4.7700,10.0000,4,474,0.993711,13,88,88,0.427389,0.997890,20,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,5,1,0.002096,1,0,1,0.000000,0.000000,0,0
baseline_curves,hub,0.2000,477,4.7700,10.0000,6,473,0.991614,12,91,91,0.482383,0.997886,13,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,7,476,0.997904,14,84,84,0.473635,0.997899,13,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,8,473,0.991614,10,104,104,0.607600,0.997886,19,1
baseline_curves,hub,0.2000,477,4.7700,10.0000,9,474,0.993711,16,109,109,0.500740,0.997890,13,1
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,0,4,0.008386,4,1,1,0.193756,0.750000,1,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,1,8,0.016771,5,2,2,0.307002,0.875000,2,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,2,5,0.010482,3,2,2,0.203093,0.800000,2,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,3,1,0.002096,1,0,1,0.000000,0.000000,0,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,4,1,0.002096,1,0,1,0.000000,0.000000,0,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,5,3,0.006289,3,1,1,0.000000,0.666667,1,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,6,2,0.004193,2,1,1,0.000000,0.500000,1,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,7,5,0.010482,4,2,2,0.013851,0.800000,2,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,8,4,0.008386,3,2,2,0.184761,0.750000,2,0
percolation_density_sweep,normal,0.0000,477,2.5000,13.8130,9,1,0.002096,1,0,1,0.000000,0.000000,0,0
percolation_density_sweep,strong,0.2000,477,2.5000,13.8130,0,4,0.008386,4,1,1,0.000000,0.750000,1,0
percolation_density_sweep,strong,0.2000,477,2.5000,13.8130,1,98,0.205451,22,10,10,0.327074,0.989796,7,0
